QID|QDesc|Section|category|DifficultyLevel|CreatedBY|CreatedDate
RA16837155||RA|RA168|Easy|gja8701bi|14-Jun-2015
VB15644497||VB|VB156|Medium|kiu5415vo|19-Feb-2017
VB16617527||VB|VB166|VeryDifficult|fft2503cx|20-Jan-2015
VB10635520||VB|VB106|Medium|bec3457qv|25-Jan-2017
VB14110079||VB|VB141|Easy|jfs1202gy|20-May-2016
QT11955239||QT|QT119|Medium|gga5850gw|24-Apr-2017
VB19627281||VB|VB196|Easy|tcb5484hk|02-Feb-2014
VB13030428||VB|VB130|Easy|jdy5247tc|28-Jun-2015
RA11015539||RA|RA110|Easy|dko5314nl|04-Dec-2014
QT17230630||QT|QT172|Medium|sxk4712jc|11-Mar-2014
VB18511689||VB|VB185|Easy|ysr8501wh|29-Jan-2014
VB17756383||VB|VB177|Medium|yed5603rh|01-Oct-2013
VB14645932||VB|VB146|Difficult|woe6402ik|04-Jan-2016
VB14416911||VB|VB144|Easy|snq7814ra|09-Aug-2014
VB15648852||VB|VB156|Easy|aro4327my|10-May-2016
QT19228851||QT|QT192|Difficult|xgy4520ha|21-Mar-2017
RA16940182||RA|RA169|VeryEasy|vbi6074ui|04-Aug-2016
VB11442005||VB|VB114|VeryEasy|vpf1702xl|01-Sep-2014
QT10136000||QT|QT101|Medium|dmq5137me|25-Aug-2014
RA11245885||RA|RA112|Easy|aeo4076ob|20-Mar-2017
RA13816727||RA|RA138|Easy|dna4071qj|07-Jul-2016
VB13422958||VB|VB134|Easy|xxn7347xv|14-Sep-2015
VB11355971||VB|VB113|Easy|wew4367bh|14-Feb-2014
QT12546019||QT|QT125|Medium|oho7351qt|04-Jun-2015
QT19739042||QT|QT197|Easy|poc7357va|15-Jun-2013
RA11130548||RA|RA111|Medium|tkk4314oi|10-Nov-2016
QT18531666||QT|QT185|Medium|lfb5644ab|10-Sep-2014
VB19444170||VB|VB194|Medium|pxw3780ug|27-Jun-2015
RA17842384||RA|RA178|Medium|vix2002if|12-Feb-2017
RA10421693||RA|RA104|Difficult|ngr4585co|06-Mar-2014
QT10938002||QT|QT109|Medium|pll3505hh|16-Oct-2013
VB13853368||VB|VB138|VeryDifficult|asc8755eq|15-Sep-2014
VB11744509||VB|VB117|Difficult|ihh8164kf|26-Jul-2015
RA12718422||RA|RA127|Medium|igu1867wg|12-Sep-2014
QT14224460||QT|QT142|Easy|jom3114tg|26-Jun-2013
QT15211821||QT|QT152|Medium|cgb4031kc|19-Oct-2014
RA13845280||RA|RA138|Medium|ywi7147io|19-Dec-2015
RA17458613||RA|RA174|VeryDifficult|mco1043gk|11-Feb-2015
QT18623441||QT|QT186|Easy|twn8038tf|16-Nov-2013
RA11919578||RA|RA119|Difficult|icr2387dn|03-Jan-2016
RA19913726||RA|RA199|Difficult|ftj5655aa|20-Nov-2013
RA12442254||RA|RA124|Easy|vbu3412og|10-Jun-2016
VB10934955||VB|VB109|Medium|ubr4864jn|05-Aug-2014
RA17252814||RA|RA172|VeryDifficult|noc3368nn|14-Oct-2016
RA11050751||RA|RA110|Easy|whg8254yl|31-Jan-2017
RA17218947||RA|RA172|Difficult|lci7628mw|03-Jun-2013
QT14546545||QT|QT145|VeryDifficult|ews4851rh|02-Apr-2016
QT11645107||QT|QT116|Easy|wou4613le|19-Mar-2015
RA18139419||RA|RA181|Difficult|heg1152wy|20-Oct-2016
RA12630728||RA|RA126|Difficult|mmw6717fy|20-May-2016
RA10620859||RA|RA106|VeryDifficult|iag3616iy|26-Feb-2014
VB15142349||VB|VB151|Medium|inn8801dw|26-May-2015
RA12858756||RA|RA128|Medium|xkr5723xw|08-Dec-2014
QT18030801||QT|QT180|VeryEasy|vsi6777ne|27-Jun-2016
RA12341501||RA|RA123|VeryEasy|qem8411id|13-Sep-2014
RA14233338||RA|RA142|Easy|vky5705rc|30-Jan-2015
VB11923282||VB|VB119|Medium|nib5885qf|29-Sep-2013
QT12735855||QT|QT127|VeryDifficult|pky3654ud|22-Sep-2016
VB11227659||VB|VB112|VeryEasy|ibq1002lp|07-May-2015
VB14453074||VB|VB144|VeryEasy|idw1282ll|30-Oct-2014
RA15138637||RA|RA151|Medium|aff3634fc|21-May-2015
VB15350421||VB|VB153|VeryDifficult|nfg4218ji|26-Sep-2015
QT12055473||QT|QT120|VeryDifficult|yma7570vk|03-Jan-2016
VB17951165||VB|VB179|Medium|hvg4573ve|14-Dec-2013
VB18510380||VB|VB185|Difficult|mmh5863kf|11-Nov-2016
VB18054422||VB|VB180|Medium|poy1221nj|20-Apr-2016
RA14326450||RA|RA143|VeryEasy|krh7862yk|22-Jul-2016
VB15912738||VB|VB159|Difficult|bxp8130cn|30-Jul-2014
QT13437594||QT|QT134|VeryDifficult|kxf1758sk|14-Jun-2014
QT11336352||QT|QT113|Easy|nel8448xv|16-Mar-2016
VB17955528||VB|VB179|Medium|yge1002nh|15-Nov-2013
RA15827961||RA|RA158|Medium|vxt4656jk|20-Aug-2014
RA19726569||RA|RA197|Medium|gbo4677rk|02-Oct-2015
VB18013904||VB|VB180|Difficult|lao1050mf|02-Jul-2015
RA12855655||RA|RA128|VeryDifficult|osg3521pn|20-Jul-2016
VB19654862||VB|VB196|VeryDifficult|ign4828di|09-Aug-2013
QT15434193||QT|QT154|VeryDifficult|dsi7473ld|07-Apr-2014
RA16813148||RA|RA168|Easy|pun6148dn|09-Sep-2016
RA19259979||RA|RA192|VeryDifficult|qam1056gq|22-Jul-2014
RA16741845||RA|RA167|VeryDifficult|qef7811ly|25-Apr-2014
QT11036499||QT|QT110|Easy|iwf5136na|06-Sep-2014
RA18816716||RA|RA188|Easy|pae3062tq|27-Jul-2016
RA17756759||RA|RA177|Medium|dqk1425an|28-Sep-2015
QT12459937||QT|QT124|VeryDifficult|thq5755qw|07-Sep-2015
VB18857772||VB|VB188|Easy|mvn7446jc|21-Dec-2014
RA12330841||RA|RA123|Easy|yyi6474gt|15-Oct-2015
QT19441489||QT|QT194|Medium|yvj4825ar|20-Apr-2015
RA11016826||RA|RA110|VeryDifficult|cwm4774bf|30-Sep-2015
VB15314745||VB|VB153|VeryEasy|hpm4838iw|13-Aug-2014
VB19020098||VB|VB190|Easy|mte7147om|26-Nov-2016
QT14659202||QT|QT146|Medium|fpe2455lh|13-Aug-2014
RA16622403||RA|RA166|VeryEasy|qfv8251cs|25-Dec-2014
